UID,Type,Name,Programs,AKAs,Addresses,DOB
"47745","Entity","JOINT STOCK COMPANY ARZAMAS MACHINE BUILDING PLANT","RUSSIA-EO14024","JOINT STOCK COMPANY ARZAMAS MACHINERY PLANT | PUBLICHNOE AKTSIONERNOE OBSCHESTVO ARZAMASSKIY MASHINOSTROITELNYI ZAVOD | AO AMZ","Arzamas, Russia",""
"47746","Entity","JOINT STOCK COMPANY NOVOSIBIRSK MECHANICAL PLANT ISKRA","RUSSIA-EO14024","AKTSIONERNOE OBSHCHESTVO NOVOSIBIRSKII MEKHANICHESKII ZAVOD ISKRA | AO NMZ ISKRA","Novosibirsk, Russia",""
"47747","Entity","LIMITED LIABILITY COMPANY MILITARY INDUSTRIAL COMPANY","RUSSIA-EO14024","VOENNO PROMYSHLENNAYA KOMPANIYA | LLC MIC | OOO VPK","Moscow, Russia",""
"47748","Entity","JSC SCIENTIFIC PRODUCTION ASSOCIATION EXPERIMENTAL DESIGN BUREAU NAMED AFTER M SIMONOV","RUSSIA-EO14024","OKB SIMONOV | SIMONOV DESIGN BUREAU | SOKOL DESIGN BUREAU | OKB SOKOL | JOINT STOCK COMPANY EXPERIMENTAL DESICH BUREU COKOL | AO NPO OKB IM MP SIMONOVA","Kazan, Russia",""
"47749","Entity","JSC IZHEVSK MOTOR PLANT AKSION HOLDING","RUSSIA-EO14024","AO IZHEVSKII MOTOZAVOD AKSION KHOLDING | IZHEVSK MOTOZAVOD AXION HOLDING JSC","Izhevsk, Russia | Moscow, Russia",""
"47750","Individual","Gennady Ivanovich KUDRYAVTSEV","RUSSIA-EO14024","Gennadii Ivanovich KUDRIAVTSEV","Russia","20 Aug 1947"
"47751","Entity","JOINT STOCK COMPANY VERKHNYAYA SALDA CHEMICAL CONTAINER PLANT","RUSSIA-EO14024","AKTSIONERNOE OBSHCHESTVO VERKHNESALDINSKII ZAVOD KHIMICHESKIKH EMKOSTEI | AO VZKHE","Verkhnyaya Salda, Russia",""
"47752","Entity","DUNAY PROBABLE NAVAL MISSILE FACILITY","RUSSIA-EO14024","","Promyslovka Peninsula, Russia",""
"47754","Entity","CENTRAL RESEARCH RADIO ENGINEERING INSTITUTE NAMED AFTER ACADEMICIAN A I BERG","RUSSIA-EO14024","JOINT STOCK COMPANY TSNIRTI NAMED AFTER ACADEMICIAN A I BERG | 108 INSTITUTE | AKTSIONERNOE OBSHCHESTVO TSENTRALNYI NAUCHNO ISSLEDOVATELSKII RADIOTEKHNICHESKII INSTITUIMENI AKADEMIKA A I BERGA | AO TSNIRTI IM AKADEMIKA A I BERGA","Moscow, Russia",""
"47756","Individual","Andrej Nikolaevich TROSHEV","RUSSIA-EO14024","Andrei Nikolaevich TROSHEV | Sedoi | Gray Hair","Russia","05 Apr 1962 | 05 Apr 1953"
"47757","Entity","LIMITED LIABILITY COMPANY DIGITAL CENTER HYPERSPACE","RUSSIA-EO14024","","Chelyabinsk, Russia",""
"47758","Entity","LIMITED LIABILITY COMPANY HYPERSPACE TECHNOLOGIES","RUSSIA-EO14024","","Almetyevsk, Russia",""
"47759","Entity","JOINT STOCK COMPANY SCIENTIFIC RESEARCH INSTITUTE EKRAN","RUSSIA-EO14024","AKTSIONERNOE OBSHCHESTVO NAUCHNO ISSLEDOVATELSKII INSTITUT EKRAN | AO NII EKRAN","Samara, Russia",""
"47760","Entity","LIMITED LIABILITY COMPANY ZHELTUGINSKAYA MINING COMPANY","RUSSIA-EO14024","LLC ZHELTUGINSKAYA GRK","Klyuchevskiy Urban Settlement, Russia",""
"47761","Entity","LIMITED LIABILITY COMPANY OFFICE TECHNOLOGY JETCOM","RUSSIA-EO14024","JETCOM 3D","Moscow, Russia",""
"47762","Entity","LIMITED LIABILITY COMPANY GENERAL CONTRACTOR MFS","RUSSIA-EO14024","OOO GP MFS","Moscow, Russia",""
"47764","Entity","JOINT STOCK COMPANY SINARSKIY PIPE PLANT","RUSSIA-EO14024","JSC SINTZ","Kamensk-Uralskiy, Russia",""
"47765","Entity","JOINT STOCK COMPANY RIMERA","RUSSIA-EO14024","","Moscow, Russia",""
"47766","Entity","JOINT STOCK COMPANY TAGANROG METALLURGICAL PLANT","RUSSIA-EO14024","JSC TAGMET","Taganrog, Russia",""
"47767","Entity","JOINT STOCK COMPANY SEVERSKIY PIPE PLANT","RUSSIA-EO14024","JSC STZ","Polevskoy, Russia",""
"47768","Entity","LIMITED LIABILITY COMPANY RIMERA ALNAS","RUSSIA-EO14024","","Almetyevsk, Russia",""
"47769","Entity","LIMITED LIABILITY COMPANY SMARTMET","RUSSIA-EO14024","","Chelyabinsk, Russia",""
"47770","Individual","Anton Olegovich ELIZAREV","RUSSIA-EO14024","Anton Olegovich YELIZAREV | Lotus","Novorossiysk, Russia","01 May 1981"
"47771","Entity","LIMITED LIABILITY COMPANY RIMERA SERVIS","RUSSIA-EO14024","","Moscow, Russia",""
"47772","Entity","LIMITED LIABILITY COMPANY TMK PIPELINE SOLUTIONS","RUSSIA-EO14024","LLC TMK TR","Chelyabinsk, Russia",""
"47773","Individual","Pavel Ivanovich PINIGIN","RUSSIA-EO14024","","Belarus","23 Aug 1962"
"47774","Entity","LIMITED LIABILITY COMPANY TUBES 2000","RUSSIA-EO14024","","Elektrostal, Russia",""
